ISO,Rank2018,FR_Country,EN_country,ES_country,Score 2018,Progression RANK,Rank 2017,Score 2017,Zone,Diff Prog Score,Score Exa,Score A
BDI,159,Burundi,Burundi,Burundi,"55,26",1,160,"55,78",Afrique,"-0,515190196662516",23,"55,26"
IRQ,160,Irak,Iraq,Irak,"56,56",-2,158,"54,03",MENA,"2,53013690941968",68,"53,71"
EGY,161,Égypte,Egypt,Egipto,"56,72",0,161,"55,78",MENA,"0,933629314094802","63,9","54,9"
LBY,162,Libye,Libya,Libia,"56,79",1,163,"56,81",MENA,"-0,01855287055907","50,4","56,79"
AZE,163,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"59,73",-1,162,"56,40",EEAC,"3,33356812430302","59,6","57,81"
IRN,164,Iran,Islamic Republic of Iran,Iràn,"60,71",1,165,"65,12",MENA,"-4,40116577532611","67,6",59
UZB,165,Ouzbékistan,Uzbekistan,Uzbekistàn,"60,84",4,169,"66,11",EEAC,"-5,27734251826343","68,3","58,65"
BHR,166,Bahreïn,Bahrain,Baréin,"60,85",-2,164,"58,88",MENA,"1,96353822456958","60,8","59,72"
YEM,167,Yémen,Yemen,Yemen,"62,23",-1,166,"65,80",MENA,"-3,566921653683","57,9","61,68"
SOM,168,Somalie,Somalia,Somalia,"63,04",-1,167,"65,95",Afrique,"-2,90283104933086","60,9","61,5"
SAU,169,Arabie saoudite,Saudi Arabia,Arabia Saudita,"63,13",-1,168,"66,02",MENA,"-2,88949205007775","63,1","61,89"
LAO,170,Laos,Lao People's Democratic Republic,Laos,"66,41",0,170,"66,41",Asie-Pacifique,"4,25997437645265E-05",56,"66,41"
GNQ,171,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"66,47",0,171,"66,47",Afrique,"6,32141450296331E-10",0,"66,47"
CUB,172,Cuba,Cuba,Cuba,"68,90",1,173,"71,75",Amériques,"-2,84951219180023","35,6","68,9"
DJI,173,Djibouti,Djibouti,Yibuti,"70,77",-1,172,"70,54",Afrique,"0,233565764351411",0,"70,77"
SDN,174,Soudan,Sudan,Sudàn,"71,13",0,174,"73,56",Afrique,"-2,43339001113276",23,"71,13"
VNM,175,Viêt Nam,Vietnam,Vietnam,"75,05",0,175,"73,96",Asie-Pacifique,"1,08136752662715",66,"75,05"
CHN,176,Chine,China,China,"78,29",0,176,"77,66",Asie-Pacifique,"0,631323477098988","81,7","76,5"
SYR,177,Syrie,Syrian Arab Republic,Siria,"79,22",0,177,"81,49",MENA,"-2,27015073900138","81,6",77
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"84,20",0,178,"84,19",EEAC,"0,009843591076816","34,3","84,2"
ERI,179,Érythrée,Eritrea,Eritrea,"84,24",0,179,"84,24",Afrique,"0,003488102916918","71,4","84,24"
PRK,180,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"88,87",0,180,"84,98",Asie-Pacifique,"3,88754304848079","51,9","88,87"
