ISO,FR_Country,2013,2014,2015,2016,2017,2018,2019,2020,Zone
SDN,Soudan,"70,06","71,88","72,34","72,53","73,56","71,13","72,45","55,33",Afrique
SEN,Sénégal,"26,19","26,68","27,77","27,99","26,72","25,61","25,81","23,99",Afrique
SGP,Singapour    ,"43,43","44,29","45,87","52,96","51,1","50,95","51,41","55,23",Asie-Pacifique
SLE,Sierra Leone,"26,35","28,23","28,47","29,94","30,73","29,98","30,36","30,28",Afrique
SLV,El Salvador,"22,86","21,57","23,66","27,2","27,24","27,78","29,81","29,7",Amériques
SOM,Somalie,"73,59","73,19","72,31","65,35","65,95","63,04","57,24","55,45",Afrique
SRB,Serbie,"26,59","25,05","27,66","27,6","28,05","29,58","31,18","31,62",UE Balkans
SSD,Soudan du Sud,"36,2","36,05","38,04","44,87","48,16","46,88","45,65","44,49",Afrique
SUR,Surinam,"18,19","18,2","18,2","16,7","16,07","16,44","16,38","17,5",Amériques
SVK,Slovaquie,"13,25","11,39","11,66","13,26","15,51","20,26","23,58","22,67",UE Balkans
SVN,Slovénie,"20,49","20,38","20,55","22,26","21,7","21,69","22,31","22,64",UE Balkans
SWE,Suede,"9,23","8,98","9,47","12,33","8,27","8,31","8,31","9,25",UE Balkans
SWZ,Swaziland,"46,76","46,76","47,28","52,37","51,27","51,46","49,09","45,15",Afrique
SYC,Seychelles,"29,19","31,68","31,55","30,6","30,86","30,17","29,41","28,66",Afrique
SYR,Syrie,"78,53","77,04","77,29","81,35","81,49","79,22","71,78","72,57",MENA
TCD,Tchad,"34,87","40,22","40,17","40,59","39,66","38,45","36,71","39,7",Afrique
TGO,Togo,"28,45",29,"28,5","30,31","30,75","30,23","29,69","29,33",Afrique
THA,Thaïlande,"38,6","37,94","40,07","44,53","44,69","44,31","44,10","44,94",Asie-Pacifique
TJK,Tadjikistan,"35,71","34,86","36,19","50,34","50,27","50,06","54,02","55,34",EEAC
TKM,Turkménistan,"79,14","80,81","80,83","83,44","84,19","84,20","85,44","85,44",EEAC
TLS,Timor-Leste,"28,72","29,04","32,63","32,02","32,82","30,81","29,93","29,9",Asie-Pacifique
TON,Tonga,"26,7","26,7","23,37","21,24","24,97","25,68","25,41","27,27",Asie-Pacifique
TTO,Trinité-et-Tobago,"23,12","23,28","22,39","23,29","20,62","22,79","24,74","23,22",Amériques
TUN,Tunisie,"39,93","38,69","38,68","31,6","32,22","30,91","29,61","29,45",MENA
TUR,Turquie,"46,56","45,87","44,16","50,76","52,98","53,50","52,81","50,02",EEAC
TWN,Taïwan,"23,82","23,82","24,83","24,37","24,37","23,36","24,98","23,76",Asie-Pacifique
TZA,Tanzanie,"27,34","27,3","28,09","28,65","30,65","30,65","36,28","40,25",Afrique
UGA,Ouganda,"31,69","33,29","31,65","32,58","35,94","36,77","39,42","40,95",Afrique
UKR,Ukraine,"36,79","36,93","39,1","32,93","33,19","31,16","32,46","32,52",EEAC
URY,Uruguay,"15,92","16,08","15,94","15,88","17,43","15,56","16,06","15,79",Amériques
USA,Etats Unis,"18,22","23,49","24,41","22,49","23,88","23,73","25,69","23,85",Amériques
UZB,Ouzbékistan,"60,39","61,01","61,14","61,15","66,11","60,84","53,52","53,07",EEAC
VEN,Venezuela,"34,44","35,37","40,61","44,77","42,94","46,03","49,10","45,66",Amériques
VNM,Viêt Nam,"71,78","72,36","72,63","74,27","73,96","75,05","74,93","74,71",Asie-Pacifique
WSM,Samoa,"23,84","22,02","22,32","18,8","16,41","16,69","18,25","18,25",Asie-Pacifique
XCD,OECS,"19,72","20,81","21,02","18,91","22,1","22,11","26,04","23,78",Amériques
XKO,Kosovo,"28,47","29,29","30,63","30,5","30,45","29,61","29,68","29,33",UE Balkans
YEM,Yémen,"69,22","67,26","66,36","67,07","65,8","62,23","61,66","58,25",MENA
ZAF,Afrique du Sud,"24,56","23,19","22,06","21,92","20,12","20,39","22,19","22,41",Afrique
ZMB,Zambie,"27,93","30,89","34,35","35,08","36,48","35,36","36,38",37,Afrique
ZWE,Zimbabwe,"38,12","39,19","39,19","40,41","41,44","40,53","42,23","40,95",Afrique
